product,date,price,volume,best_bid,best_ask
BTC-USD,1637121879750,59089.17,0.00001686,59089.16,59089.17
BTC-USD,1637121879807,59089.17,0.00047185,59089.16,59089.17
BTC-USD,1637121879820,59089.17,0.00080048,59089.16,59089.17
BTC-USD,1637121879936,59089.97,0.00168643,59089.95,59089.97
BTC-USD,1637121880090,59089.96,0.00032,59089.96,59089.97
BTC-USD,1637121880633,59089.97,0.00829409,59089.96,59089.97
BTC-USD,1637121880665,59089.97,0.00331881,59089.96,59089.97
BTC-USD,1637121880863,59089.97,0.01970067,59089.96,59089.97
BTC-USD,1637121880863,59089.97,0.01475933,59089.96,59089.97
BTC-USD,1637121880998,59089.97,0.00000937,59089.96,59089.98
BTC-USD,1637121880998,59089.98,0.01475063,59089.96,59089.98
BTC-USD,1637121881027,59089.98,0.00001807,59089.97,59095.49
BTC-USD,1637121881027,59095.49,0.00029375,59089.97,59095.49
BTC-USD,1637121881079,59098.37,0.00163339,59095.53,59098.37
BTC-USD,1637121881343,59098.37,0.00080814,59098.36,59098.37
BTC-USD,1637121881462,59098.37,0.00514394,59095.53,59098.37
BTC-USD,1637121881509,59098.36,0.000166,59098.36,59098.37
BTC-USD,1637121881704,59098.36,0.000051,59098.36,59098.37
BTC-USD,1637121881795,59098.37,0.0012624,59098.36,59098.37
BTC-USD,1637121882076,59098.37,0.00015178,59098.36,59098.37
BTC-USD,1637121882092,59098.37,0.00388663,59098.36,59098.37
BTC-USD,1637121882148,59098.36,0.00015355,59098.36,59098.37
BTC-USD,1637121882668,59098.37,0.00829409,59098.36,59098.37
BTC-USD,1637121882858,59098.37,0.00120564,59098.36,59098.37
BTC-USD,1637121882858,59098.37,0.01451328,59098.36,59098.38
BTC-USD,1637121882858,59098.38,0.01451328,59098.36,59099.47
BTC-USD,1637121882858,59099.47,0.0085,59098.36,59100.25
BTC-USD,1637121882858,59100.25,0.12298828,59098.36,59100.25
BTC-USD,1637121882942,59103.44,0.07000431,59103.44,59103.45
BTC-USD,1637121883190,59098.37,0.1,59098.36,59098.37
BTC-USD,1637121883190,59098.37,0.36457126,59098.36,59098.37
BTC-USD,1637121883307,59098.37,0.00080852,59098.36,59098.37
BTC-USD,1637121883319,59098.37,0.00017705,59098.36,59098.37
BTC-USD,1637121883619,59098.37,0.01426814,59098.36,59098.37
BTC-USD,1637121883619,59098.37,0.90596186,59098.36,59098.37
BTC-USD,1637121883792,59098.37,0.00000444,59098.36,59098.38
BTC-USD,1637121883792,59098.38,0.01425556,59098.36,59098.38
BTC-USD,1637121883939,59098.37,0.01426814,59098.36,59098.38
BTC-USD,1637121883939,59098.38,0.00001258,59098.36,59098.38
BTC-USD,1637121884116,59110.8,0.00163319,59103.49,59110.80
BTC-USD,1637121884218,59110.83,0.09055,59106.11,59110.84
BTC-USD,1637121884352,59103.49,0.00068744,59103.49,59107.55
BTC-USD,1637121884886,59098.37,0.00331673,59098.36,59098.37
BTC-USD,1637121884950,59098.37,0.00194389,59098.36,59098.37
BTC-USD,1637121885091,59098.37,0.00161889,59098.36,59098.37
BTC-USD,1637121885201,59098.37,0.0006427,59098.36,59098.37
BTC-USD,1637121885262,59098.37,0.00022745,59098.36,59098.37
BTC-USD,1637121885654,59098.36,0.000338,59098.36,59098.37
BTC-USD,1637121885658,59098.37,0.00663945,59098.36,59098.37
BTC-USD,1637121885728,59098.37,0.00809477,59098.36,59098.37
BTC-USD,1637121885950,59098.37,0.00107763,59098.36,59098.37
BTC-USD,1637121886024,59098.37,0.00005077,59098.36,59098.37
BTC-USD,1637121886194,59098.36,0.00793865,59098.36,59098.37
BTC-USD,1637121886390,59098.37,0.00004421,59098.36,59098.37
BTC-USD,1637121886452,59098.37,0.0001518,59098.36,59098.37
BTC-USD,1637121886456,59098.37,0.00080827,59098.36,59098.37
BTC-USD,1637121886665,59098.36,0.00117335,59098.36,59098.37
BTC-USD,1637121886665,59098.36,0.00051665,59098.36,59098.37
BTC-USD,1637121886669,59098.37,0.00031173,59098.36,59098.37
